url	first_seen	portal	title	company	status
https://remotive.com/remote/jobs/qa/senior-test-automation-engineer-4282604	2026-04-21	Remotive WebSearch	Senior Test Automation Engineer	eSimplicity	added
https://builtin.com/job/senior-software-development-engineer-test-senior-sdet-remote/7726072	2026-04-21	BuiltIn WebSearch	Sr. SDET	Luxury Presence	skipped_expired
https://himalayas.app/companies/luxury-presence/jobs/senior-software-development-engineer-in-test-senior-sdet-remote	2026-04-21	Himalayas WebSearch	Senior SDET	Luxury Presence	skipped_expired
https://remotive.com/remote/jobs/qa/automation-qa-engineer-4281164	2026-04-21	Remotive WebSearch	Automation QA Engineer	PriceLabs	skipped_location
https://apply.workable.com/cloudlinux-1/j/FF27DA6EEC	2026-04-21	Workable WebSearch	Senior SDET / QA Automation Engineer	CloudLinux	skipped_location
https://job-boards.greenhouse.io/540/jobs/7702051003	2026-04-22	Greenhouse WebSearch — SDET	Test Automation Engineer (Contract)	540	added
https://jobs.lever.co/angel/599f965c-cdaf-42d7-8a6b-bdb92eb5ee78	2026-04-22	Lever WebSearch — SDET	Senior SDET / QA Engineer (Smart TV)	Angel	added
https://jobs.ashbyhq.com/moxie/98052fac-5e43-45da-bf7e-fac3cd627c1c	2026-04-22	Ashby WebSearch — SDET	Software Development Engineer in Test	Moxie	skipped_expired
https://jobs.ashbyhq.com/wagmo/f508c7b8-d33c-4c7a-9461-0f268bbd4875	2026-04-22	Ashby WebSearch — SDET	SDET / QA Automation Engineer	Wagmo	skipped_expired
https://jobs.ashbyhq.com/lazer/274f4de5-103e-423a-9309-398dd595270d	2026-04-22	Ashby WebSearch — SDET	Senior QA Engineer	Lazer	skipped_expired
https://jobs.ashbyhq.com/maximustribe/7c33886f-6b6c-43a0-a15b-f2e95904ebce	2026-04-22	Ashby WebSearch — QA Lead	Lead QA Engineer	Maximus Health	skipped_expired
https://jobs.lever.co/thekrazycouponlady/09bdbd73-5e1b-44c8-80aa-e2aaa48bf74c	2026-04-22	Lever WebSearch — SDET	SDET/QA Mobile Automation	The Krazy Coupon Lady	skipped_expired
https://jobs.lever.co/jobgether/9d824c81-b191-41fa-a40c-59d0680a3645	2026-04-22	Lever WebSearch — QA	QA Automation Engineer	Jobgether	skipped_expired
https://jobs.lever.co/jobgether/90300e18-c389-43f0-8d84-bda667fbf5ab	2026-04-22	Lever WebSearch — QA	QA Automation Engineer (Remote)	Jobgether	skipped_expired
https://jobs.lever.co/jobgether/937ec137-591a-44a8-a6a6-ed1957bc87fd	2026-04-22	Lever WebSearch — QA Lead	Test Engineering Lead	Jobgether	skipped_expired
https://jobs.lever.co/jobgether/ba6b4f24-f370-4349-82b9-b9150dd45547	2026-04-22	Lever WebSearch — QA Lead	Remote QA Lead	Jobgether	skipped_expired
https://jobs.lever.co/jobgether/73f64f2f-077c-4048-9421-c9f10c6a8744	2026-04-22	Lever WebSearch — SDET	Sr. QA Test Engineer	Jobgether	skipped_expired
https://jobs.lever.co/jobgether/6a94b466-3d14-49d5-aa66-756b6e5a2c03	2026-04-22	Lever WebSearch — QA	Remote Software Test Engineer	Jobgether	skipped_expired
https://jobs.lever.co/voxy-engen/5077ae29-234f-4fe2-b609-3a199adbd69e	2026-04-22	Lever WebSearch — QA Lead	QA Lead	EnGen	skipped_expired
https://jobs.lever.co/revealtech/520a207e-1546-4989-9668-f5158a51f88d	2026-04-22	Lever WebSearch — QA	QA Engineer	Reveal Technology	skipped_expired
https://job-boards.greenhouse.io/cribl/jobs/5764913004	2026-04-22	Greenhouse WebSearch — SDET	Staff SDET	Cribl	skipped_expired
https://boards.greenhouse.io/okta/jobs/6898090	2026-04-22	Greenhouse WebSearch — SDET	QA Automation Engineer - SDET	Okta	skipped_expired
https://boards.greenhouse.io/liveperson/jobs/6056518	2026-04-22	Greenhouse WebSearch — SDET	SDET	LivePerson	skipped_expired
https://boards.greenhouse.io/alphasense/jobs/7616170002	2026-04-22	Greenhouse WebSearch — SDET	SDET QA Automation - Search Lane	AlphaSense	skipped_expired
https://boards.greenhouse.io/smus/jobs/6057378003	2026-04-22	Greenhouse WebSearch — SDET	SDET/Test Automation QA Engineer	SonderMind	skipped_expired
